,name,gender,frequency
141,ROZALIA,F,0.00048462039488696975
142,BRONISŁAWA,F,0.00048063627257606344
143,EUGENIA,F,0.00047960589611634625
144,ALDONA,F,0.0004794227180790632
124,RUSLAN,M,0.0004771329926130251
145,LILIANNA,F,0.0004762399996812702
146,INNA,F,0.00047253064442628846
147,VIOLETTA,F,0.00047218718560638275
125,BORYS,M,0.0004712483981653071
148,DANIELA,F,0.00044516842510713284
126,OLAF,M,0.00043926093340475444
149,LIUBOV,F,0.00043596372873365956
150,YANA,F,0.0004342922291434517
127,REMIGIUSZ,M,0.00043328474993839495
128,YAROSLAV,M,0.00042895716880758287
129,BOLESŁAW,M,0.00042417164258356317
130,PAVLO,M,0.0004209889241857702
151,MAGDA,F,0.00042041649281926067
131,KAJETAN,M,0.00041405105602367466
152,MATYLDA,F,0.00040871599568780584
153,CELINA,F,0.0004044342090663145
132,ALIAKSANDR,M,0.0004029687847680501
133,BERNARD,M,0.0004026711204574652
154,NELA,F,0.00039793138874276624
155,VERONIKA,F,0.00038927622648114214
134,KUBA,M,0.0003828649951762354
135,VADYM,M,0.00038103321480340485
156,LARYSA,F,0.0003783084414988195
157,ADRIANA,F,0.00037370609331208285
136,BRUNO,M,0.0003708439364795352
137,ANATOLII,M,0.00036500513654113794
158,HONORATA,F,0.00036381447929879814
159,VALERIIA,F,0.0003595555899319672
160,PAULA,F,0.0003565102550621365
161,AURELIA,F,0.000351014913943645
138,EDMUND,M,0.00034414573754553064
139,ANDREI,M,0.0003438480732349457
140,TOBIASZ,M,0.0003438022787256249
141,ALBERT,M,0.0003420620873714359
162,ALLA,F,0.00033956628661345435
142,LUCJAN,M,0.0003378718897685861
163,IZABELLA,F,0.00033093402160649064
164,KALINA,F,0.00032990364514677345
165,BRYGIDA,F,0.0003291022412336601
143,GRACJAN,M,0.00032681251576762197
144,YEVHEN,M,0.00032523260519605566
145,SEWERYN,M,0.00031657744293443155
146,ANTON,M,0.0003158447307852994
147,ROMUALD,M,0.00031522650490946905
148,DAVID,M,0.00031305126571673286
166,LILIIA,F,0.00030957088300835486
167,MARIKA,F,0.0003088152736045623
149,ILLIA,M,0.0003086091983126189
150,PETRO,M,0.00030070964545478735
168,OLIVIA,F,0.00030011431683361743
151,SZCZEPAN,M,0.0002988549678272964
152,ALEXANDER,M,0.00029775589960359813
169,SONIA,F,0.0002969773929451452
170,TAMARA,F,0.0002960844000133903
171,MIECZYSŁAWA,F,0.0002910699012427668
172,GERTRUDA,F,0.0002873834432424454
173,ALONA,F,0.000287177367950502
174,ELWIRA,F,0.00028699418991321894
153,YEVHENII,M,0.0002866507310933132
175,POLINA,F,0.00028335352642221834
154,KORNEL,M,0.0002828497868196899
176,BOŻENNA,F,0.0002827810950557088
177,MARZANNA,F,0.00028232314996250114
